Utterance,Type,,,,,,,,,,,,,,,,,
Okay yeah,Conversation,,,,,,,,,,,,,,,,,
Okay^ so how are you,Conversation,,,,,,,,,,,,,,,,,
i'm doing good^ how are you,Conversation,,,,,,,,,,,,,,,,,
i'm good,Conversation,,,,,,,,,,,,,,,,,
You haven't joined that,Conversation,,,,,,,,,,,,,,,,,
meeting with the,Conversation,,,,,,,,,,,,,,,,,
Oh,Conversation,,,,,,,,,,,,,,,,,
yeah I had emailed her so we can again,Conversation,,,,,,,,,,,,,,,,,
And so^ starting with introduction,Conversation,,,,,,,,,,,,,,,,,
I am a fan day and i'm a PhD student a computer computer science in Q amp T,Conversation,,,,,,,,,,,,,,,,,
So this is my third semester going on and,Conversation,,,,,,,,,,,,,,,,,
about my hobbies I like sports I like playing and watching sports and then I like reading,Conversation,,,,,,,,,,,,,,,,,
Okay^ what about you,Conversation,,,,,,,,,,,,,,,,,
yeah so my name is sheree Lakshmi and i'm doing my masters here this my first year bus and so it's been only three months meal,Conversation,,,,,,,,,,,,,,,,,
And I^ like my hobbies I like,Conversation,,,,,,,,,,,,,,,,,
watching movies into^ and I was playing games yeah,Conversation,,,,,,,,,,,,,,,,,
So with this homework,Conversation,,,,,,,,,,,,,,,,,
I was planning to,Conversation,,,,,,,,,,,,,,,,,
play the game of dots and boxes,Conversation,,,,,,,,,,,,,,,,,
Right yes,Conversation,,,,,,,,,,,,,,,,,
So that was the template that was provided in a homework as well^ so,Conversation,,,,,,,,,,,,,,,,,
yeah Let me share the screen and i'll also send you the link,Conversation,,,,,,,,,,,,,,,,,
Again^ that we can,Conversation,,,,,,,,,,,,,,,,,
play him,Conversation,,,,,,,,,,,,,,,,,
I can you see my screen,Conversation,,,,,,,,,,,,,,,,,
Yes^ I can see the screen,Conversation,,,,,,,,,,,,,,,,,
Okay^ so so,Conversation,,,,,,,,,,,,,,,,,
I stopped pays for the game so,Conversation,,,,,,,,,,,,,,,,,
we're playing with other people,Conversation,,,,,,,,,,,,,,,,,
To,Conversation,,,,,,,,,,,,,,,,,
Do their,Conversation,,,,,,,,,,,,,,,,,
Less to five by four or^ I think^ the more the many the boxes it to be more interesting,Conversation,,,,,,,,,,,,,,,,,
night,Conversation,,,,,,,,,,,,,,,,,
Let me create the game and then sent,Conversation,,,,,,,,,,,,,,,,,
I send this link in the chat so that you can,Conversation,,,,,,,,,,,,,,,,,
Okay,Conversation,,,,,,,,,,,,,,,,,
How do I,Conversation,,,,,,,,,,,,,,,,,
Can just send it in the chat,Conversation,,,,,,,,,,,,,,,,,
I think it stopped the Syrian,Conversation,,,,,,,,,,,,,,,,,
So^ first of all about the rules of the game Okay^ so it says^ you are ready right,Instruction,,,,,,,,,,,,,,,,,
Oh,Conversation,,,,,,,,,,,,,,,,,
Man is ready Okay^ let me do it okay you're going to play it is ready okay,Conversation,,,,,,,,,,,,,,,,,
Did you Okay^ it says gaming starts Okay^ so we have this brief say boxes,Instruction,,,,,,,,,,,,,,,,,
Right so,Instruction,,,,,,,,,,,,,,,,,
What we will be doing is,Instruction,,,,,,,,,,,,,,,,,
about the rules^ so we will get to choose our line and connecting these dots one by,Instruction,,,,,,,,,,,,,,,,,
One one after another^ and so whenever you complete a box,Instruction,,,,,,,,,,,,,,,,,
We think^ at one point right you're and then,Instruction,,,,,,,,,,,,,,,,,
If you get the one points^ you will get to choose another line again and^ at the end of this so whenever we ever has some os number of boxes completed^ they will win the game OK,Instruction,,,,,,,,,,,,,,,,,
OK OK,Conversation,,,,,,,,,,,,,,,,,
OK so,Conversation,,,,,,,,,,,,,,,,,
First^ or,Conversation,,,,,,,,,,,,,,,,,
yeah it's,Conversation,,,,,,,,,,,,,,,,,
done,Conversation,,,,,,,,,,,,,,,,,
Oh yeah,Conversation,,,,,,,,,,,,,,,,,
Okay,Conversation,,,,,,,,,,,,,,,,,
Okay,Conversation,,,,,,,,,,,,,,,,,
Are you gonna start farther away,Strategy,,,,,,,,,,,,,,,,,
yeah,Conversation,,,,,,,,,,,,,,,,,
This,Conversation,,,,,,,,,,,,,,,,,
Paper is more fun than,Conversation,,,,,,,,,,,,,,,,,
Yes^ right yeah,Conversation,,,,,,,,,,,,,,,,,
We played this a lot,Conversation,,,,,,,,,,,,,,,,,
yeah,Conversation,,,,,,,,,,,,,,,,,
It gets interesting when it goes to last part,Conversation,,,,,,,,,,,,,,,,,
Yes^ yeah whatever you,Conversation,,,,,,,,,,,,,,,,,
I guess we don't have any other,Strategy,,,,,,,,,,,,,,,,,
way to it,Strategy,,,,,,,,,,,,,,,,,
Oh you're just giving one,Conversation,,,,,,,,,,,,,,,,,
First^ one,Conversation,,,,,,,,,,,,,,,,,
let's see what can I do,Conversation,,,,,,,,,,,,,,,,,
So we used to count the boxes like how many boxes you're going to give,Conversation,,,,,,,,,,,,,,,,,
yeah is done for us to,Conversation,,,,,,,,,,,,,,,,,
lead us,Conversation,,,,,,,,,,,,,,,,,
To have these now,Conversation,,,,,,,,,,,,,,,,,
I think that's all you have right or,Conversation,,,,,,,,,,,,,,,,,
Yes,Conversation,,,,,,,,,,,,,,,,,
1234 so I have five total and you have to write,Conversation,,,,,,,,,,,,,,,,,
Yes^ we are going to win this^ I can see it,Conversation,,,,,,,,,,,,,,,,,
You can see it,Conversation,,,,,,,,,,,,,,,,,
yeah I can enter in this,Conversation,,,,,,,,,,,,,,,,,
yeah,Conversation,,,,,,,,,,,,,,,,,
yeah,Conversation,,,,,,,,,,,,,,,,,
Oh yeah and then I,Conversation,,,,,,,,,,,,,,,,,
Will yeah,Conversation,,,,,,,,,,,,,,,,,
yeah yeah,Conversation,,,,,,,,,,,,,,,,,
You got leading no window,Conversation,,,,,,,,,,,,,,,,,
seven,Conversation,,,,,,,,,,,,,,,,,
Oh,Conversation,,,,,,,,,,,,,,,,,
Yes,Conversation,,,,,,,,,,,,,,,,,
Okay^ so I want,Conversation,,,,,,,,,,,,,,,,,
yeah,Conversation,,,,,,,,,,,,,,,,,
let's do it again,Conversation,,,,,,,,,,,,,,,,,
We met every,Conversation,,,,,,,,,,,,,,,,,
question you,Conversation,,,,,,,,,,,,,,,,,
didn't ask you if you want to,Conversation,,,,,,,,,,,,,,,,,
Yes^ yes,Conversation,,,,,,,,,,,,,,,,,
Oh,Conversation,,,,,,,,,,,,,,,,,
OK OK,Conversation,,,,,,,,,,,,,,,,,
OK,Conversation,,,,,,,,,,,,,,,,,
OK^ you guys to play one now,Conversation,,,,,,,,,,,,,,,,,
Is if you,Conversation,,,,,,,,,,,,,,,,,
Yes^ okay,Conversation,,,,,,,,,,,,,,,,,
Okay^ I think I can do this,Conversation,,,,,,,,,,,,,,,,,
Do I have to give me one for you or,Conversation,,,,,,,,,,,,,,,,,
Do I have anything,Conversation,,,,,,,,,,,,,,,,,
I don't see any,Conversation,,,,,,,,,,,,,,,,,
Let me give away this,Conversation,,,,,,,,,,,,,,,,,
Three four,Conversation,,,,,,,,,,,,,,,,,
Okay,Conversation,,,,,,,,,,,,,,,,,
So I have four and one right so,Conversation,,,,,,,,,,,,,,,,,
