Utterance,Type,,,,,,,,,,,,,,,,,,,,
hi,Conversation,,,,,,,,,,,,,,,,,,,,
hi hi guys,Conversation,,,,,,,,,,,,,,,,,,,,
How are you i'm good^ how are you doing,Conversation,,,,,,,,,,,,,,,,,,,,
i'm doing good,Conversation,,,,,,,,,,,,,,,,,,,,
How was your weekend,Conversation,,,,,,,,,,,,,,,,,,,,
yeah it's pretty good,Conversation,,,,,,,,,,,,,,,,,,,,
So so it's the guiding the game^ I guess,Conversation,,,,,,,,,,,,,,,,,,,,
yeah,Conversation,,,,,,,,,,,,,,,,,,,,
So we shall start with introducing ourselves,Conversation,,,,,,,,,,,,,,,,,,,,
yeah so yeah,Conversation,,,,,,,,,,,,,,,,,,,,
My name is election has you know^ and I am doing my masters^ now it is my first semester,Conversation,,,,,,,,,,,,,,,,,,,,
And my hobbies are like going outside shopping and you're watching TV handling intensive,Conversation,,,,,,,,,,,,,,,,,,,,
Nice interesting,Conversation,,,,,,,,,,,,,,,,,,,,
So yeah my name is it i'm doing as well as pastors in USD with computer science major I have completed,Conversation,,,,,,,,,,,,,,,,,,,,
Computer architecture and computer algorithms in the last Semester and and now i'm doing my fundamentals of a data science and programming language courses in this semester,Conversation,,,,,,,,,,,,,,,,,,,,
I like gardening going out,Conversation,,,,,,,,,,,,,,,,,,,,
yeah my direct Boston is doing gardening and allow,Conversation,,,,,,,,,,,,,,,,,,,,
Like to hang out with friends,Conversation,,,,,,,,,,,,,,,,,,,,
going out traveling is my favorite pastime^ also^ that said about myself,Conversation,,,,,,,,,,,,,,,,,,,,
yep,Conversation,,,,,,,,,,,,,,,,,,,,
So,Conversation,,,,,,,,,,,,,,,,,,,,
I think we can start playing,Conversation,,,,,,,,,,,,,,,,,,,,
night and just let's start with dots in boxes^ for the first,Conversation,,,,,,,,,,,,,,,,,,,,
size and just,Conversation,,,,,,,,,,,,,,,,,,,,
i'll share the link to you^ so there was nothing but we will have,Instruction,,,,,,,,,,,,,,,,,,,,
will have your dots^ we have to,Instruction,,,,,,,,,,,,,,,,,,,,
make a box with that,Instruction,,,,,,,,,,,,,,,,,,,,
So who makes them more boxes,Instruction,,,,,,,,,,,,,,,,,,,,
shubin,Conversation,,,,,,,,,,,,,,,,,,,,
Okay^ good,Conversation,,,,,,,,,,,,,,,,,,,,
I just shared this share the link,Conversation,,,,,,,,,,,,,,,,,,,,
i'm Johnny okay,Conversation,,,,,,,,,,,,,,,,,,,,
Yes,Conversation,,,,,,,,,,,,,,,,,,,,
john,Conversation,,,,,,,,,,,,,,,,,,,,
Okay^ I just clicked ready so like,Conversation,,,,,,,,,,,,,,,,,,,,
So,Conversation,,,,,,,,,,,,,,,,,,,,
Starting,Conversation,,,,,,,,,,,,,,,,,,,,
As it started,Conversation,,,,,,,,,,,,,,,,,,,,
No,Conversation,,,,,,,,,,,,,,,,,,,,
Waiting for player one to click ready,Conversation,,,,,,,,,,,,,,,,,,,,
To click ready^ so there is a link,Conversation,,,,,,,,,,,,,,,,,,,,
I just know that it through the same thing^ but,Conversation,,,,,,,,,,,,,,,,,,,,
Smaller chunks time,Conversation,,,,,,,,,,,,,,,,,,,,
Is it done,Conversation,,,,,,,,,,,,,,,,,,,,
No,Conversation,,,,,,,,,,,,,,,,,,,,
player one's done it is showing for me player one stone,Conversation,,,,,,,,,,,,,,,,,,,,
Is it for me it's not it's,Conversation,,,,,,,,,,,,,,,,,,,,
For me^ it is actually showing player to his computer^ I think,Conversation,,,,,,,,,,,,,,,,,,,,
Can you shall,Conversation,,,,,,,,,,,,,,,,,,,,
be mistaken,Conversation,,,,,,,,,,,,,,,,,,,,
I think we should sell a private game,Conversation,,,,,,,,,,,,,,,,,,,,
yeah,Conversation,,,,,,,,,,,,,,,,,,,,
Okay,Conversation,,,,,,,,,,,,,,,,,,,,
Okay,Conversation,,,,,,,,,,,,,,,,,,,,
Okay^ and ready,Conversation,,,,,,,,,,,,,,,,,,,,
Okay,Conversation,,,,,,,,,,,,,,,,,,,,
So let's do it,Conversation,,,,,,,,,,,,,,,,,,,,
yep,Conversation,,,,,,,,,,,,,,,,,,,,
