Timestamp,Utterance,Type
1, Hello,Conversation
00:00:02.280 --> 00:00:03.030, Hello and good,Conversation
00:00:04.110 --> 00:00:04.470, Are you,Conversation
00:00:08.220 --> 00:00:09.090, i'm good^ how are you,Conversation
00:00:09.990 --> 00:00:10.830, and good,Conversation
00:00:13.530 --> 00:00:15.509, Have you seen the assignment that we have got,Conversation
00:00:18.539 --> 00:00:19.050, You know,Conversation
00:00:21.390 --> 00:00:25.350, So i'm sharing my screen^ so you could see my screen^ so I let me,Conversation
00:00:27.690 --> 00:00:28.290, Let me,Conversation
00:00:30.300 --> 00:00:30.870, Okay,Conversation
00:00:31.380 --> 00:00:43.740, The transcription yeah now Dr Thompson in general^ so that we can with the audio transcripts as well^ so yeah we are here for the data collection right,Conversation
00:00:44.730 --> 00:00:50.010, yeah this is for the data collection^ which will be used for the projects yeah,Conversation
00:00:50.070 --> 00:00:54.120, So let's play darts and boxes and tic TAC toe game,Instruction
00:00:55.530 --> 00:00:56.100, Okay sure,Conversation
00:00:57.180 --> 00:00:57.540, All,Conversation
00:00:59.340 --> 00:01:00.540, The dots and boxers,Instruction
00:01:01.230 --> 00:01:01.680, OK,Conversation
00:01:02.100 --> 00:01:07.290, You are already already^ so I am looking very the game will be started in six seconds,Conversation
00:01:11.790 --> 00:01:12.630, Mine is the first,Conversation
00:01:22.650 --> 00:01:23.700, Video is not on,Conversation
00:01:25.230 --> 00:01:26.250, Just a second,Conversation
00:01:28.860 --> 00:01:31.470, Can you enable the permission for me,Conversation
00:01:32.970 --> 00:01:35.400, know your video is not on,Conversation
00:01:35.700 --> 00:01:38.880, yeah I am not able to share my screen now,Conversation
00:01:39.420 --> 00:01:44.010, You don't need to share your screen you just need to click on the video so that,Conversation
00:01:46.800 --> 00:01:49.080, Like it's your turn in boxes,Conversation
00:01:50.640 --> 00:01:51.300, Okay,Conversation
00:01:54.270 --> 00:01:55.230, just give me a second,Conversation
00:01:58.920 --> 00:01:59.310, yeah,Conversation
00:02:03.630 --> 00:02:07.680, I can't tell but it's your turn you can play with what we do,Conversation
00:02:09.210 --> 00:02:10.470, yeah I started,Conversation
00:02:12.750 --> 00:02:16.800, So just make him move in a lot in boxes,Conversation
00:02:18.390 --> 00:02:19.470, yeah I made my move,Conversation
00:02:23.850 --> 00:02:25.170, it's not here like,Conversation
00:02:27.150 --> 00:02:28.140, I didn't see your move,Conversation
00:02:29.130 --> 00:02:32.220, That can you send me the link^ where I can join with you,Conversation
00:02:33.930 --> 00:02:34.620, Are you,Conversation
00:02:34.980 --> 00:02:35.100,Oh,Conversation
00:02:37.320 --> 00:02:38.910, yeah okay,Conversation
00:02:43.500 --> 00:02:44.700, it's not my don't,Conversation
00:02:46.620 --> 00:02:49.350, know if you are seeing my screen,Conversation
00:02:50.760 --> 00:02:52.740, Yes^ yes^ but we to,Conversation
00:02:53.190 --> 00:02:56.730, start the game let's start afresh deals in your personal again,Conversation
00:02:57.450 --> 00:02:57.990, Okay^ so,Conversation
00:02:59.760 --> 00:03:00.660, yeah so,Conversation
00:03:05.010 --> 00:03:06.570, Other people start,Conversation
00:03:19.980 --> 00:03:20.250, know,Conversation
00:03:21.510 --> 00:03:22.050, i'm ready,Conversation
00:03:25.890 --> 00:03:26.160, yeah,Conversation
00:03:29.370 --> 00:03:29.700, yeah,Conversation
00:03:36.630 --> 00:03:36.870, yeah,Conversation
00:04:20.070 --> 00:04:21.090, Like the fundamental,Conversation
00:04:34.950 --> 00:04:35.520, Any hear me,Conversation
00:04:36.510 --> 00:04:38.160, yeah I can hear you,Conversation
00:04:38.760 --> 00:04:39.630, OK so,Conversation
00:04:43.890 --> 00:04:47.190, The gaming products project and my teammate is,Conversation
00:04:50.220 --> 00:04:50.550,Okay,Conversation
00:04:54.900 --> 00:04:57.990, yeah you can make your whoa whoa,Conversation
00:04:58.200 --> 00:04:58.950, hey i'm making,Strategy
00:05:11.730 --> 00:05:15.690, i'm just waiting for you to make some wrong move^ so that I can gain you,Strategy
00:05:53.070 --> 00:05:54.780, Think^ I have to make the movie,Conversation
00:05:55.680 --> 00:05:56.520, Yes^ yes,Conversation
00:05:57.060 --> 00:05:58.230, there's no jobs right,Conversation
00:06:38.010 --> 00:06:38.370, again,Conversation
00:06:38.850 --> 00:06:39.120,yeah,Conversation
00:06:43.410 --> 00:06:47.550, My thing now there is no more chance,Conversation
00:06:49.440 --> 00:06:49.650, yeah,Conversation
00:08:07.980 --> 00:08:08.010, draw,Conversation
00:08:10.740 --> 00:08:12.300, That line so let's,Conversation
00:08:13.350 --> 00:08:13.890, Talk to,Conversation
00:08:14.310 --> 00:08:15.450, send you the link already,Conversation
00:08:16.290 --> 00:08:18.960, So can join me for the next game you're saying,Conversation
00:08:19.410 --> 00:08:21.720, yeah exactly you're seeing my,Conversation
00:08:23.400 --> 00:08:25.440, Okay^ just let me open that link,Conversation
00:08:27.330 --> 00:08:30.810, I haven't bought it only I got datsun boxes,Conversation
00:08:31.200 --> 00:08:33.990, No^ did you like football games^ but,Conversation
00:08:37.410 --> 00:08:38.310, You have sent me,Conversation
00:08:38.520 --> 00:08:38.880,yeah,Conversation
00:08:40.980 --> 00:08:41.730, Like a couple of,Conversation
00:08:43.110 --> 00:08:43.410, me,Conversation
00:08:44.040 --> 00:08:45.540, tic TAC toe paper games,Conversation
00:08:46.440 --> 00:08:49.680, yeah I haven't received that can you send that link once again for me,Conversation
00:08:54.210 --> 00:08:54.630, So,Conversation
00:08:57.180 --> 00:08:58.290, you've got the link type,Conversation
00:08:59.100 --> 00:08:59.940, Yes^ yes,Conversation
00:09:01.260 --> 00:09:01.830, We can,Conversation
00:09:13.350 --> 00:09:14.400, You open again,Conversation
00:09:17.820 --> 00:09:18.870, i'm back in my name,Conversation
00:09:30.120 --> 00:09:31.920, yeah we can start now,Conversation
00:09:32.400 --> 00:09:32.670,yeah,Conversation
