Utterance,Type
Yes^ I can,Conversation
hey what's going on,Conversation
don't get how are you,Conversation
How,Conversation
Are you doing in this class so far,Conversation
um well considering I put like 80% of my grade into the project^ I feel like i'm doing great,Conversation
it's all like completion and attending class so,Conversation
Okay^ I should be,Conversation
yeah I spread it out a little bit^ so I put like 40% of the grade into the final project because I don't know how much of it^ be able to pull off,Conversation
exactly like,Conversation
So this is kind of what we're building datsun squares,Conversation
So I think we can get everything done^ but the new learning part we'll see how that goes^ you have to find a proper data Center train this thing on,Conversation
yeah well^ I mean hopefully this does something right^ I mean this is supposed to be dagger for y'all to,Conversation
yeah yeah correct correct awesome okay so,Conversation
yeah alright^ so this is a game of dots and boxes so,Instruction
So he re's kind of what you see so here are the roles what we're going to do so^ the goal is to capture an entire box and the way you capture an entire box is to fill in the rectangle around that right you play against a single opponent^ at least^ it will be me and you,Instruction
Okay^ be careful that you don't create a situation where the other person can capture an entire box right,Strategy
here's the thing,Conversation
After you capture a box you get to go again so your turn does not end whenever you capture a box,Instruction
seems like,Conversation
it's a cyclical situation where you just keep capturing boxes over and over again right okay okay,Strategy
and whoever has the most boxes^ at the end essentially wins,Instruction
Okay seems simple enough,Conversation
awesome awesome let's make sure that,Conversation
Share okay alright so we're gonna play this game^ on this particular little website,Conversation
Solomon if you're watching this instead of using your drawings Well^ this is much more interactive for us and much easier to set up rather than draw things^ so this is where we'll do it okay so let's play the game,Conversation
he'll be with other people to five by four is a pretty decent grid,Conversation
or right yes it's a private game alright so i'm going to go and share this thing with you on chat,Conversation
awesome,Conversation
There you go if you will please join the game,Conversation
horse,Conversation
There we go i'm ready,Conversation
to play by five rounds let's see if you can get up to speed within,Conversation
five rounds okay,Conversation
Okay i'll try my best,Conversation
Okay^ so my turn I will connect here,Conversation
Okay,Conversation
There we go,Conversation
wow,Conversation
Ah,Conversation
yeah that's exactly how it works,Conversation
Okay^ so,Conversation
Since I connected I get to go again,Instruction
You think this is simple^ but this thing has like a ton of strategy behind it,Conversation
yeah I wonder what do you understand was when this particular game was invented,Conversation
I don't know exactly when this thing was,Conversation
Interesting yeah yeah yeah It is interesting^ like again it's so simple to play^ but I went up against the computer a few times and man it just rolled me every single time,Conversation
I think I think I want one game yeah,Conversation
wow,Conversation
I wonder what type of what type of Ai they use for their,Conversation
system so,Conversation
dominating it's it's it's gotta be a Min Max,Conversation
yeah it's got to be a simple a simple decision trees can get this done because computers very efficient at forcing you into back moves,Conversation
And to do it is I would assume it would be very fast so,Conversation
It makes sense,Conversation
We go,Conversation
Forward starting to get filled,Conversation
getting close at some point we have to make a,Conversation
Yes,Conversation
yeah,Conversation
There we go,Conversation
interesting,Conversation
it's like the how good you are is all about these patterns that you create,Strategy
And then you force your audience to have to connect,Strategy
To make these moves to to connect yeah,Strategy
um yeah okay,Conversation
that's one let's see,Conversation
let's see what's a good thing yeah,Conversation
There we go,Conversation
Thank,Conversation
You wanna you want to try to minimize,Strategy
The damage you minimize what they can do,Strategy
minimize what they can do yeah,Strategy
Exactly so that's probably a pretty good so that's,Conversation
Okay,Conversation
You missed this one^ I think,Conversation
Oh dang,Conversation
Oh wow the rest of them okay so,Conversation
pretty much create a almost yeah so you'll have to figure out which ones to smaller on this,Conversation
Okay^ so this is where they change,Conversation
Right^ and I think i'll probably have to give you the rest^ I don't have any other way out yeah,Conversation
let's see you^ but you did miss one,Conversation
Oh^ I missed one,Conversation
yeah,Conversation
yeah,Conversation
give you that last one^ though okay,Conversation
No^ you have to start you understand oh wait Oh^ it was me okay,Conversation
yeah sweet,Conversation
What you have to go,Conversation
So 1010 it's a draw,Conversation
hey whoo,Conversation
yeah let's do it okay,Conversation
This is coming through out here,Conversation
Is the hell,Conversation
Okay let's see my turn all right let's go,Conversation
Okay,Conversation
not going to give you a free box^ this time,Conversation
So^ have you been at you empty your whole college lifetime,Conversation
yeah pretty much pretty much yeah,Conversation
I actually started the master's program back in 2007 but due to personal reasons I just never able to finish it,Conversation
Okay^ oh you're in the master's program currently,Conversation
yeah okay,Conversation
cool,Conversation
it's my final class actually,Conversation
Oh well^ congratulations that's awesome,Conversation
graduating yeah yeah mommy,Conversation
awesome Thank you,Conversation
How did you like the the course as a whole,Conversation
or,Conversation
The degree plan,Conversation
I was a little bit all over the place^ I like I didn't focus on it's like jack of all trades master of none right like instead of going all oh no no,Conversation
it's click there's nothing okay,Conversation
Your turn again,Conversation
cool,Conversation
um So if you started it so long ago,Conversation
Is your master's program like,Conversation
Specifically^ or is it more general because I know the masters and Ai is very recent,Conversation
Oh yes^ it just there's no,Conversation
09:3 9there's no specialization like I said I took a little bit of a island with cybersecurity a little bit of,Conversation
So I believe that way^ the degree plan work is you got to take some core classes from each group^ you know those groups that they have,Conversation
And then you can take whatever you want^ but these days^ I think I don't know if you agree^ or not^ maybe better to just focus^ you know really focus in on okay hang up^ let me,Conversation
Concentrate on yeah I don't know where to move here i'm not seeing a move^ without giving you a,Conversation
box okay and do that,Conversation
Oh no way that will give you the whole thing,Conversation
